time,device_id,co2,humidity,pm25,pressure,temperature,rssi,snr,SF,frequency,f_count,p_count,toa,distance,tx_p,tx_cl,tx_ag,rx_ag,exp_pl
2024-09-05 14:10:15.315634+02:00,pilotdevice02,,70.01,14.16,321.09,25.37,-47.0,9.2,7.0,867.3,26.0,27.0,0.061696,0.05,14,1,0.4,3,63.4
2024-09-05 14:10:40.879317+02:00,pilotdevice01,,64.13,16.28,320.99,26.86,-40.0,10.0,7.0,867.1,25.0,27.0,0.061696,0.02,14,1,0.4,3,56.4
2024-09-05 14:10:59.302799+02:00,pilotdevice,447.0,57.49,14.54,320.1,25.79,-51.0,10.8,11.0,868.3,883.0,969.0,0.987136,0.07,14,1,0.4,3,67.4
2024-09-05 14:11:15.319083+02:00,pilotdevice02,,69.98,15.22,321.07,25.37,-50.0,7.8,7.0,868.5,27.0,28.0,0.061696,0.05,14,1,0.4,3,66.4
2024-09-05 14:11:37.522336+02:00,pilotdevice,445.0,57.49,15.49,320.1,25.86,-55.0,8.2,10.0,867.5,884.0,970.0,0.452608,0.07,14,1,0.4,3,71.4
2024-09-05 14:11:40.928082+02:00,pilotdevice01,,64.14,16.15,320.94,26.88,-37.0,9.0,7.0,868.3,26.0,28.0,0.061696,0.02,14,1,0.4,3,53.4
2024-09-05 14:12:15.268584+02:00,pilotdevice02,,70.14,13.58,321.0,25.4,-51.0,10.2,7.0,868.3,28.0,29.0,0.061696,0.05,14,1,0.4,3,67.4
2024-09-05 14:12:22.822956+02:00,pilotdevice,448.0,57.41,14.6,320.09,25.91,-53.0,9.5,10.0,867.5,885.0,971.0,0.452608,0.07,14,1,0.4,3,69.4
2024-09-05 14:12:40.962364+02:00,pilotdevice01,,63.93,16.09,321.02,26.9,-38.0,8.8,7.0,867.9,27.0,29.0,0.061696,0.02,14,1,0.4,3,54.4
2024-09-05 14:13:16.695726+02:00,pilotdevice02,,69.99,14.65,321.13,25.42,-47.0,8.2,12.0,867.9,29.0,30.0,1.482752,0.05,14,1,0.4,3,63.4
2024-09-05 14:13:20.116518+02:00,pilotdevice,448.0,57.38,15.44,320.19,25.99,-57.0,12.5,10.0,867.3,886.0,972.0,0.452608,0.07,14,1,0.4,3,73.4
2024-09-05 14:13:42.462482+02:00,pilotdevice01,,64.0,16.13,320.96,26.92,-35.0,8.8,12.0,867.7,28.0,30.0,1.482752,0.02,14,1,0.4,3,51.4
2024-09-05 14:14:16.831231+02:00,pilotdevice02,,69.86,15.47,321.07,25.4,-48.0,10.2,12.0,868.3,30.0,31.0,1.646592,0.05,14,1,0.4,3,64.4
2024-09-05 14:14:20.162817+02:00,pilotdevice,451.0,57.35,14.83,320.09,26.03,-54.0,8.8,10.0,868.5,887.0,973.0,0.452608,0.07,14,1,0.4,3,70.4
2024-09-05 14:14:42.661525+02:00,pilotdevice01,,63.89,16.52,320.98,26.93,-33.0,8.0,12.0,868.3,29.0,31.0,1.646592,0.02,14,1,0.4,3,49.4
2024-09-05 14:15:20.206573+02:00,pilotdevice,475.0,57.36,15.23,320.11,26.05,-56.0,13.0,10.0,868.1,888.0,974.0,0.452608,0.07,14,1,0.4,3,72.4
2024-09-05 14:15:45.161680+02:00,pilotdevice02,,69.93,14.38,321.1,25.4,-39.0,7.2,12.0,867.5,31.0,32.0,1.646592,0.05,14,1,0.4,3,55.4
2024-09-05 14:16:10.923195+02:00,pilotdevice01,,63.86,16.36,321.02,26.95,-36.0,7.5,12.0,867.5,30.0,32.0,1.646592,0.02,14,1,0.4,3,52.4
2024-09-05 14:16:20.050681+02:00,pilotdevice,504.0,57.3,15.32,320.09,26.08,-60.0,8.2,9.0,867.5,889.0,975.0,0.246784,0.07,14,1,0.4,3,76.4
2024-09-05 14:17:01.540521+02:00,pilotdevice02,,70.04,14.42,321.08,25.43,-44.0,8.5,12.0,868.5,32.0,33.0,1.646592,0.05,14,1,0.4,3,60.4
2024-09-05 14:17:20.098888+02:00,pilotdevice,517.0,57.26,15.29,320.07,26.11,-56.0,11.8,9.0,867.1,890.0,976.0,0.246784,0.07,14,1,0.4,3,72.4
2024-09-05 14:17:27.365758+02:00,pilotdevice01,,63.77,17.09,320.97,26.97,-33.0,8.0,12.0,868.5,31.0,33.0,1.646592,0.02,14,1,0.4,3,49.4
2024-09-05 14:18:20.150373+02:00,pilotdevice,522.0,57.25,15.51,320.01,26.13,-54.0,9.8,9.0,868.5,891.0,977.0,0.246784,0.07,14,1,0.4,3,70.4
2024-09-05 14:18:29.049514+02:00,pilotdevice02,,70.17,14.3,321.06,25.45,-40.0,11.8,11.0,867.1,33.0,34.0,0.823296,0.05,14,1,0.4,3,56.4
2024-09-05 14:18:54.789814+02:00,pilotdevice01,,63.75,16.95,320.96,26.98,-34.0,10.2,11.0,867.3,32.0,34.0,0.823296,0.02,14,1,0.4,3,50.4
2024-09-05 14:19:20.218359+02:00,pilotdevice,534.0,57.22,15.96,320.09,26.16,-58.0,13.2,9.0,867.9,892.0,978.0,0.246784,0.07,14,1,0.4,3,74.4
2024-09-05 14:19:45.409850+02:00,pilotdevice02,,70.15,15.77,321.06,25.45,-46.0,10.5,11.0,868.3,34.0,36.0,0.823296,0.05,14,1,0.4,3,62.4
2024-09-05 14:20:11.238747+02:00,pilotdevice01,,63.63,17.24,320.94,27.01,-34.0,10.2,11.0,868.3,33.0,36.0,0.823296,0.02,14,1,0.4,3,50.4
2024-09-05 14:20:15.826645+02:00,pilotdevice02,,70.01,15.6,321.03,25.46,-40.0,12.0,11.0,867.1,35.0,37.0,0.823296,0.05,14,1,0.4,3,56.4
2024-09-05 14:20:20.249116+02:00,pilotdevice,541.0,57.17,15.57,320.08,26.15,-60.0,8.0,9.0,867.5,893.0,979.0,0.246784,0.07,14,1,0.4,3,76.4
2024-09-05 14:20:42.031717+02:00,pilotdevice01,,63.7,17.06,320.95,27.03,-39.0,11.2,11.0,867.7,34.0,37.0,0.823296,0.02,14,1,0.4,3,55.4
2024-09-05 14:21:15.820878+02:00,pilotdevice02,,69.91,15.09,321.07,25.46,-45.0,11.0,11.0,868.3,36.0,38.0,0.823296,0.05,14,1,0.4,3,61.4
2024-09-05 14:21:20.179355+02:00,pilotdevice,538.0,57.13,14.86,320.03,26.18,-53.0,10.8,8.0,867.3,894.0,980.0,0.133632,0.07,14,1,0.4,3,69.4
2024-09-05 14:21:42.079000+02:00,pilotdevice01,,63.61,17.4,320.97,27.06,-32.0,11.2,11.0,868.3,35.0,38.0,0.823296,0.02,14,1,0.4,3,48.4
2024-09-05 14:22:15.790649+02:00,pilotdevice02,,69.95,15.26,321.03,25.45,-40.0,10.5,11.0,867.1,37.0,39.0,0.823296,0.05,14,1,0.4,3,56.4
2024-09-05 14:22:20.219808+02:00,pilotdevice,549.0,57.09,14.49,320.14,26.17,-56.0,12.2,8.0,868.3,895.0,981.0,0.133632,0.07,14,1,0.4,3,72.4
2024-09-05 14:22:42.109422+02:00,pilotdevice01,,63.59,18.47,320.92,27.07,-35.0,9.8,11.0,867.5,36.0,39.0,0.823296,0.02,14,1,0.4,3,51.4
2024-09-05 14:23:15.361591+02:00,pilotdevice02,,70.04,14.86,321.07,25.45,-39.0,11.5,10.0,868.3,38.0,40.0,0.411648,0.05,14,1,0.4,3,55.4
2024-09-05 14:23:20.268976+02:00,pilotdevice,550.0,57.1,14.96,320.01,26.18,-58.0,11.2,8.0,867.9,896.0,982.0,0.133632,0.07,14,1,0.4,3,74.4
2024-09-05 14:23:41.737941+02:00,pilotdevice01,,63.5,17.97,320.92,27.08,-38.0,13.2,10.0,868.1,37.0,40.0,0.411648,0.02,14,1,0.4,3,54.4
2024-09-05 14:24:15.348469+02:00,pilotdevice02,,70.08,16.03,321.07,25.46,-45.0,12.0,10.0,867.1,39.0,41.0,0.411648,0.05,14,1,0.4,3,61.4
2024-09-05 14:24:20.323344+02:00,pilotdevice,555.0,57.15,14.82,320.19,26.19,-53.0,9.2,8.0,867.5,897.0,983.0,0.133632,0.07,14,1,0.4,3,69.4
2024-09-05 14:24:41.777594+02:00,pilotdevice01,,63.52,17.21,320.94,27.1,-35.0,12.0,10.0,868.3,38.0,41.0,0.411648,0.02,14,1,0.4,3,51.4
2024-09-05 14:25:15.326878+02:00,pilotdevice02,,69.89,15.59,321.11,25.44,-40.0,10.5,10.0,868.1,40.0,42.0,0.411648,0.05,14,1,0.4,3,56.4
2024-09-05 14:25:28.374008+02:00,pilotdevice,576.0,57.03,16.11,320.09,26.12,-53.0,11.2,8.0,868.3,898.0,984.0,0.133632,0.07,14,1,0.4,3,69.4
2024-09-05 14:25:41.830113+02:00,pilotdevice01,,63.34,16.21,321.02,27.12,-39.0,12.0,10.0,867.9,39.0,42.0,0.411648,0.02,14,1,0.4,3,55.4
2024-09-05 14:26:15.308081+02:00,pilotdevice02,,69.7,16.01,321.07,25.41,-38.0,13.0,10.0,867.7,41.0,43.0,0.411648,0.05,14,1,0.4,3,54.4
2024-09-05 14:26:29.357961+02:00,pilotdevice,569.0,56.9,16.08,320.16,26.09,-54.0,9.2,7.0,867.7,899.0,985.0,0.071936,0.07,14,1,0.4,3,70.4
2024-09-05 14:26:41.864488+02:00,pilotdevice01,,63.25,17.08,320.93,27.12,-38.0,8.2,10.0,867.5,40.0,43.0,0.411648,0.02,14,1,0.4,3,54.4
2024-09-05 14:27:15.290394+02:00,pilotdevice02,,69.91,15.81,321.08,25.4,-40.0,11.5,10.0,867.3,42.0,44.0,0.411648,0.05,14,1,0.4,3,56.4
2024-09-05 14:27:29.413519+02:00,pilotdevice,567.0,56.84,14.4,320.09,26.11,-56.0,9.5,7.0,868.3,900.0,986.0,0.071936,0.07,14,1,0.4,3,72.4
2024-09-05 14:27:41.910038+02:00,pilotdevice01,,63.26,18.49,320.94,27.13,-35.0,11.5,10.0,867.3,41.0,44.0,0.411648,0.02,14,1,0.4,3,51.4
2024-09-05 14:28:15.083387+02:00,pilotdevice02,,69.59,14.84,321.07,25.42,-42.0,8.8,9.0,868.5,43.0,45.0,0.226304,0.05,14,1,0.4,3,58.4
2024-09-05 14:28:20.453362+02:00,pilotdevice,567.0,56.82,16.1,320.09,26.14,-55.0,9.2,7.0,867.9,901.0,987.0,0.071936,0.07,14,1,0.4,3,71.4
2024-09-05 14:28:41.763333+02:00,pilotdevice01,,63.08,16.95,320.9,27.13,-36.0,12.0,9.0,868.3,42.0,45.0,0.226304,0.02,14,1,0.4,3,52.4
2024-09-05 14:29:15.077166+02:00,pilotdevice02,,69.71,15.12,321.04,25.43,-40.0,11.8,9.0,868.3,44.0,46.0,0.226304,0.05,14,1,0.4,3,56.4
2024-09-05 14:29:20.505680+02:00,pilotdevice,571.0,56.77,15.6,320.06,26.15,-55.0,7.5,7.0,867.5,902.0,988.0,0.071936,0.07,14,1,0.4,3,71.4
2024-09-05 14:29:41.812146+02:00,pilotdevice01,,63.01,17.68,320.89,27.14,-38.0,12.2,9.0,868.1,43.0,46.0,0.226304,0.02,14,1,0.4,3,54.4
2024-09-05 14:30:15.050068+02:00,pilotdevice02,,69.65,14.75,321.01,25.43,-39.0,11.8,9.0,867.9,45.0,47.0,0.226304,0.05,14,1,0.4,3,55.4
2024-09-05 14:30:20.554010+02:00,pilotdevice,568.0,56.66,16.15,319.96,26.12,-57.0,10.8,7.0,867.3,903.0,989.0,0.071936,0.07,14,1,0.4,3,73.4
2024-09-05 14:30:41.853186+02:00,pilotdevice01,,62.93,17.48,320.84,27.15,-37.0,8.8,9.0,867.5,44.0,47.0,0.226304,0.02,14,1,0.4,3,53.4
2024-09-05 14:31:15.037411+02:00,pilotdevice02,,69.76,14.94,320.99,25.41,-39.0,11.8,9.0,867.3,46.0,48.0,0.226304,0.05,14,1,0.4,3,55.4
2024-09-05 14:31:22.364734+02:00,pilotdevice,560.0,56.65,14.65,319.95,26.14,-56.0,8.8,12.0,868.3,904.0,990.0,1.810432,0.07,14,1,0.4,3,72.4
2024-09-05 14:31:41.891364+02:00,pilotdevice01,,62.92,16.62,320.88,27.16,-42.0,12.8,9.0,867.1,45.0,48.0,0.226304,0.02,14,1,0.4,3,58.4
2024-09-05 14:32:15.007399+02:00,pilotdevice02,,69.62,14.37,320.99,25.41,-38.0,8.5,9.0,868.5,47.0,49.0,0.226304,0.05,14,1,0.4,3,54.4
2024-09-05 14:32:22.408197+02:00,pilotdevice,558.0,56.58,15.03,319.98,26.13,-66.0,8.5,12.0,867.5,905.0,991.0,1.810432,0.07,14,1,0.4,3,82.4
2024-09-05 14:32:41.933379+02:00,pilotdevice01,,62.9,15.56,320.79,27.18,-42.0,12.2,9.0,868.3,46.0,49.0,0.226304,0.02,14,1,0.4,3,58.4
2024-09-05 14:33:14.886179+02:00,pilotdevice02,,69.79,14.39,320.93,25.42,-40.0,11.2,8.0,868.1,48.0,50.0,0.123392,0.05,14,1,0.4,3,56.4
2024-09-05 14:33:41.869862+02:00,pilotdevice01,,62.89,16.1,320.81,27.18,-37.0,10.5,8.0,868.1,47.0,50.0,0.123392,0.02,14,1,0.4,3,53.4
2024-09-05 14:34:14.855867+02:00,pilotdevice02,,69.82,14.95,320.89,25.43,-39.0,11.8,8.0,867.9,49.0,51.0,0.123392,0.05,14,1,0.4,3,55.4
2024-09-05 14:34:23.483222+02:00,pilotdevice,555.0,56.59,15.43,319.98,26.15,-55.0,10.0,12.0,868.3,906.0,992.0,1.810432,0.07,14,1,0.4,3,71.4
2024-09-05 14:34:41.905549+02:00,pilotdevice01,,63.02,16.99,320.77,27.21,-36.0,11.8,8.0,867.7,48.0,51.0,0.123392,0.02,14,1,0.4,3,52.4
2024-09-05 14:35:14.838890+02:00,pilotdevice02,,69.83,14.72,320.96,25.44,-39.0,11.5,8.0,867.3,50.0,52.0,0.123392,0.05,14,1,0.4,3,55.4
2024-09-05 14:35:23.524611+02:00,pilotdevice,533.0,56.44,15.13,319.95,26.09,-63.0,7.5,12.0,867.5,907.0,994.0,1.810432,0.07,14,1,0.4,3,79.4
